type;Parameter;Place;motu;service-id;product-id;longitude-min;longitude-max;latitude-min;latitude-max;resolution;level;first obs;last obs;source;variable;lien;mask;depth-min;depth-max;fileType;time;latName;longName;depthName;timeName;daily;unitFactor;time_units
model;Dissolved_oxygen;NWS;https://nrt.cmems-du.eu/motu-web/Motu;NWSHELF_ANALYSISFORECAST_BGC_004_002-TDS;cmems_mod_nws_bgc-o2_anfc_7km-3D_P1D-m;-19.8889;12.9997;40.0667;65.0013;11.1*6.7;4;01/05/2019;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/NWSHELF_ANALYSISFORECAST_BGC_004_002/INFORMATION;0;0;5000;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Dissolved_oxygen;IBI;https://nrt.cmems-du.eu/motu-web/Motu;IBI_ANALYSISFORECAST_BGC_005_004-TDS;cmems_mod_ibi_bgc_anfc_0.027deg-3D_P1D-m;-19;5;26;56;2.8*2.8;4;16/11/2019;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/IBI_ANALYSISFORECAST_BGC_005_004/INFORMATION;0;0.494;5727.917;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Dissolved_oxygen;MED;https://nrt.cmems-du.eu/motu-web/Motu;MEDSEA_ANALYSISFORECAST_BGC_006_014-TDS;med-ogs-bio-an-fc-m;-5.5417;36.2917;30.1875;45.9792;4.2*4.2;4;01/11/2019;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/MEDSEA_ANALYSISFORECAST_BGC_006_014/INFORMATION;0;1.0182;4152.896;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Dissolved_oxygen;BS;https://my.cmems-du.eu/motu-web/Motu;BLKSEA_REANALYSIS_BIO_007_005-TDS;bs-ulg-bio-rean-d;27.37;41.9626;40.86;46.8044;3.7*2.8;4;01/01/1992;31/12/2020;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/BLKSEA_REANALYSIS_BIO_007_005/INFORMATION;0;2.5011;2140.0208;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Dissolved_oxygen;BS;https://nrt.cmems-du.eu/motu-web/Motu;BLKSEA_ANALYSIS_FORECAST_BIO_007_010-TDS;bs-ulg-bio-an-fc-d;27.37;41.9626;40.86;46.8044;3.7*2.8;4;30/11/2019;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/BLKSEA_ANALYSIS_FORECAST_BIO_007_010/INFORMATION;0;2.5011;2140.0208;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
sat;Transparency;BS;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BS_OPTICS_L3_REP_OBSERVATIONS_009_096-TDS;dataset-oc-bs-opt-multi-l3-rrs412_1km_daily-rep-v02;26.507;41.993;40.0051;47.9949;1*1;3;16/09/1997;30/06/2021;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BS_OPTICS_L3_REP_OBSERVATIONS_009_096/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;BS;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BS_OPTICS_L3_NRT_OBSERVATIONS_009_042-TDS;dataset-oc-bs-opt-multi-l3-rrs412_1km_daily-rt-v02;26.507;41.993;40.0051;47.9949;0.3*0.3;3;01/01/2021;present;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BS_OPTICS_L3_NRT_OBSERVATIONS_009_042/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BAL_OPTICS_L3_NRT_OBSERVATIONS_009_048-TDS;dataset-oc-bal-opt-olci_a-l3-rrs412_1km_daily-rt-v02;9.2589;30.2411;53.2555;65.8445;0.3*0.3;3;26/04/2016;present;marineCopernicus;RRS412_5;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BAL_OPTICS_L3_NRT_OBSERVATIONS_009_048/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;NWS;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_REP_OBSERVATIONS_009_066-TDS;dataset-oc-atl-opt-multi_cci-l3-rrs412_1km_daily-rep-v02;-45.9948;12.9948;20.0052;65.9948;1*1;3;04/09/1997;31/12/2020;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_REP_OBSERVATIONS_009_066/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;NWS;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034-TDS;dataset-oc-atl-opt-multi_cci-l3-rrs412_1km_daily-rt-v02;-45.9948;12.9948;20.0052;65.9948;0.3*0.3;3;01/07/2020;present;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;IBI;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_REP_OBSERVATIONS_009_066-TDS;dataset-oc-atl-opt-multi_cci-l3-rrs412_1km_daily-rep-v02;-45.9948;12.9948;20.0052;65.9948;1*1;3;04/09/1997;31/12/2020;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_REP_OBSERVATIONS_009_066/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;IBI;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034-TDS;dataset-oc-atl-opt-multi_cci-l3-rrs412_1km_daily-rt-v02;-45.9948;12.9948;20.0052;65.9948;0.3*0.3;3;01/07/2020;present;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;MED;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_MED_OPTICS_L3_REP_OBSERVATIONS_009_095-TDS;dataset-oc-med-opt-multi-l3-rrs412_1km_daily-rep-v02;-5.9936;36.4936;30.0051;45.9949;1*1;3;16/09/1997;31/12/2020;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_MED_OPTICS_L3_REP_OBSERVATIONS_009_095/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Transparency;MED;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_MED_OPTICS_L3_NRT_OBSERVATIONS_009_038-TDS;dataset-oc-med-opt-multi-l3-rrs412_1km_daily-rt-v02;-5.9936;36.4936;30.0051;45.9949;0.3*0.3;3;01/01/2021;present;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_MED_OPTICS_L3_NRT_OBSERVATIONS_009_038/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;global;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_EUR_CHL_L3_NRT_OBSERVATIONS_009_050-TDS;dataset-oc-eur-chl-multi-l3-chl_1km_daily-rt-v02;-30;42.001;20;65.8571;1*1;3;01/01/2017;present;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_EUR_CHL_L3_NRT_OBSERVATIONS_009_050/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;Baltic;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BAL_CHL_L3_REP_OBSERVATIONS_009_080-TDS;dataset-oc-bal-chl-multi_cci-l3-chl_1km_daily-rep-v02;9.2589;30.2411;53.2555;65.8445;1*1;3;04/09/1997;30/06/2021;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BAL_CHL_L3_REP_OBSERVATIONS_009_080/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BAL_BGC_HR_L3_NRT_009_202-TDS;cmems_obs_oc_bal_bgc_tur-spm-chl_nrt_l3-hr-mosaic_P1D-m;8.9998;31.0002;53.0005;65.9995;0.1*0.1;3;01/01/2020;29/11/2021;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BAL_BGC_HR_L3_NRT_009_202/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;IBI;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_CHL_L3_REP_OBSERVATIONS_009_067-TDS;dataset-oc-atl-chl-multi_cci-l3-chl_1km_daily-rep-v02;-45.9948;12.9948;20.0052;65.9948;1*1;3;04/09/1997;31/12/2020;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_CHL_L3_REP_OBSERVATIONS_009_067/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;IBI;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_CHL_L3_NRT_OBSERVATIONS_009_036-TDS;dataset-oc-atl-chl-multi_cci-l3-chl_1km_daily-rt-v02;-45.9948;12.9948;20.0052;65.9948;0.3*0.3;3;20/01/2019;present;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_CHL_L3_NRT_OBSERVATIONS_009_036/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;NWS;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_CHL_L3_REP_OBSERVATIONS_009_067-TDS;dataset-oc-atl-chl-multi_cci-l3-chl_1km_daily-rep-v02;-45.9948;12.9948;20.0052;65.9948;1*1;3;04/09/1997;31/12/2020;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_CHL_L3_REP_OBSERVATIONS_009_067/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;NWS;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_CHL_L3_NRT_OBSERVATIONS_009_036-TDS;dataset-oc-atl-chl-multi_cci-l3-chl_1km_daily-rt-v02;-45.9948;12.9948;20.0052;65.9948;0.3*0.3;3;20/01/2019;present;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_CHL_L3_NRT_OBSERVATIONS_009_036/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;MED;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_MED_CHL_L4_REP_OBSERVATIONS_009_078-TDS;dataset-oc-med-chl-multi-l4-interp_1km_daily-rep;-5.9936;36.4936;30.0051;45.9949;1*1;4;16/09/1997;31/12/2020;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_MED_CHL_L4_REP_OBSERVATIONS_009_078/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;MED;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_MED_CHL_L4_NRT_OBSERVATIONS_009_041-TDS;dataset-oc-med-chl-multi-l4-interp_1km_daily-rt-v02;-5.9936;36.4936;30.0051;45.9949;0.3*0.3;4;01/01/2021;present;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_MED_CHL_L4_NRT_OBSERVATIONS_009_041/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;BS;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BS_CHL_L4_REP_OBSERVATIONS_009_079-TDS;dataset-oc-bs-chl-multi-l4-interp_1km_daily-rep;26.507;41.993;40.0051;47.9949;1*1;4;16/09/1997;31/12/2020;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BS_CHL_L4_REP_OBSERVATIONS_009_079/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Chlorophyll-a;BS;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BS_CHL_L4_NRT_OBSERVATIONS_009_045-TDS;dataset-oc-bs-chl-multi-l4-interp_1km_daily-rt-v02;26.507;41.993;40.0051;47.9949;0.3*0.3;4;01/07/2020;present;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BS_CHL_L4_NRT_OBSERVATIONS_009_045/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
model;Chlorophyll-a;BS;https://my.cmems-du.eu/motu-web/Motu;BLKSEA_REANALYSIS_BIO_007_005-TDS;bs-ulg-pft-rean-d;27.37;41.9626;40.86;46.8044;3.7*2.8;4;01/01/1992;31/12/2020;marineCopernicus;chl;https://resources.marine.copernicus.eu/product-detail/BLKSEA_REANALYSIS_BIO_007_005/INFORMATION;0;2.5011;2140.0208;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Chlorophyll-a;BS;https://nrt.cmems-du.eu/motu-web/Motu;BLKSEA_ANALYSIS_FORECAST_BIO_007_010-TDS;bs-ulg-pft-an-fc-d;27.37;41.9626;40.86;46.8044;3.7*2.8;4;01/12/2019;present;marineCopernicus;chl;https://resources.marine.copernicus.eu/product-detail/BLKSEA_ANALYSIS_FORECAST_BIO_007_010/INFORMATION;0;2.5011;2140.0208;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Chlorophyll-a;MED;https://nrt.cmems-du.eu/motu-web/Motu;MEDSEA_ANALYSISFORECAST_BGC_006_014-TDS;med-ogs-pft-an-fc-d;-5.5417;36.2917;30.1875;45.9792;4.2*4.2;4;01/11/2019;present;marineCopernicus;chl;https://resources.marine.copernicus.eu/product-detail/MEDSEA_ANALYSISFORECAST_BGC_006_014/INFORMATION;0;1.0182;4152.986;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Chlorophyll-a;IBI;https://nrt.cmems-du.eu/motu-web/Motu;IBI_ANALYSISFORECAST_BGC_005_004-TDS;cmems_mod_ibi_bgc_anfc_0.027deg-3D_P1D-m;-19;5;26;56;2.8*2.8;4;23/11/2019;present;marineCopernicus;chl;https://resources.marine.copernicus.eu/product-detail/IBI_ANALYSISFORECAST_BGC_005_004/INFORMATION;0;0.494;5727.917;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Chlorophyll-a;NWS;https://my.cmems-du.eu/motu-web/Motu;NWSHELF_MULTIYEAR_BGC_004_011-TDS;cmems_mod_nws_bgc-chl_my_7km-3D_P1D-m;-19.8889;12.9997;40.0667;65.0013;11.1*6.7;4;01/01/1993;30/06/2020;marineCopernicus;chl;https://resources.marine.copernicus.eu/product-detail/NWSHELF_MULTIYEAR_BGC_004_011/INFORMATION;0;0;5000;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Chlorophyll-a;NWS;https://nrt.cmems-du.eu/motu-web/Motu;NWSHELF_ANALYSISFORECAST_BGC_004_002-TDS;cmems_mod_nws_bgc-chl_anfc_7km-3D_P1D-m;-19.8889;12.9997;40.0667;65.0013;11.1*6.7;4;01/05/2019;present;marineCopernicus;chl;https://resources.marine.copernicus.eu/product-detail/NWSHELF_ANALYSISFORECAST_BGC_004_002/INFORMATION;0;0;5000;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
model;Chlorophyll-a;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;BALTICSEA_ANALYSISFORECAST_BGC_003_007-TDS;dataset-bal-analysis-forecast-bio-dailymeans;9.0416;30.2087;53.0083;65.891;2*2;4;01/12/2018;present;marineCopernicus;chl;https://resources.marine.copernicus.eu/product-detail/BALTICSEA_ANALYSISFORECAST_BGC_003_007/INFORMATION;0;0;688;NetCDF;;latitude;longitude;depth;time;daily;;hours_since_1950
sat;Turbidity;NWS;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034-TDS;dataset-oc-atl-opt-multi_cci-l3-spm_1km_daily-rt;-45.9948;12.9948;20.0052;65.9948;0.3*0.3;3;01/07/2020;present;marineCopernicus;SPM;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
sat;Turbidity;IBI;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034-TDS;dataset-oc-atl-opt-multi_cci-l3-spm_1km_daily-rt;-45.9948;12.9948;20.0052;65.9948;0.3*0.3;3;01/07/2020;present;marineCopernicus;SPM;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034/INFORMATION;0;;;NetCDF;;latitude;longitude;;time;daily;;hours_since_1950
model;Nitrate;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;BALTICSEA_ANALYSISFORECAST_BGC_003_007-TDS;dataset-bal-analysis-forecast-bio-dailymeans;9.0416;30.2087;53.0083;65.891;2*2;4;01/12/2018;present;marineCopernicus;no3;https://resources.marine.copernicus.eu/product-detail/BALTICSEA_ANALYSISFORECAST_BGC_003_007/INFORMATION;0;1;688;NetCDF;;latitude;longitude;depth;time;daily;14;hours_since_1950
model;Ammonium;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;BALTICSEA_ANALYSISFORECAST_BGC_003_007-TDS;dataset-bal-analysis-forecast-bio-dailymeans;9.0416;30.2087;53.0083;65.892;2*2;4;02/12/2018;present;marineCopernicus;nh4;https://resources.marine.copernicus.eu/product-detail/BALTICSEA_ANALYSISFORECAST_BGC_003_007/INFORMATION;0;1;688;NetCDF;;latitude;longitude;depth;time;daily;14;hours_since_1950
