farm;lat;lon;fw;Nf;Ns
70;47.158000;-2.2500000;6552.23;19656.7;15556.5
71;51.448000;1.3100000;6545.90;19637.7;15252.3
72;51.378000;0.97000000;6545.50;19636.5;15261.0
73;51.398000;1.0900000;6539.14;19617.4;15483.9
74;51.398000;1.4400000;6525.65;19576.9;15310.8
75;50.228000;1.5200000;6508.30;19524.9;12571.0
76;47.148000;-2.3100000;6472.96;19418.9;15350.6
77;51.638000;-8.5600000;6462.28;19386.8;14135.8
78;47.378000;-2.5900000;6451.74;19355.2;15309.4
79;38.698000;-9.3700000;6429.04;19287.1;14864.7
80;51.508000;1.0300000;6422.08;19266.2;13438.6
81;47.508000;-2.7300000;6415.45;19246.4;15243.7
82;51.458000;0.87000000;6415.22;19245.7;15139.0
83;51.398000;1.5000000;6380.17;19140.5;14505.0
84;51.638000;-8.6200000;6367.23;19101.7;13453.8
85;47.198000;-2.4600000;6365.39;19096.2;15101.6
86;51.498000;0.97000000;6361.45;19084.4;14913.7
87;45.438000;-0.78000000;6353.00;19059.0;15146.9
88;45.648000;-1.1600000;6346.60;19039.8;15130.4
89;47.468000;-2.5100000;6338.84;19016.5;15027.2
90;51.398000;1.3800000;6328.36;18985.1;14872.3
91;47.218000;-2.2800000;6308.27;18924.8;14987.6
92;45.588000;-1.1300000;6269.27;18807.8;14939.0
93;51.408000;1.1500000;6255.91;18767.7;14819.2
94;52.018000;-7.5700000;6244.13;18732.4;14399.6
95;51.458000;0.81000000;6235.92;18707.8;14733.1
96;51.278000;2.8100000;6223.96;18671.9;14677.8
97;50.038000;1.2900000;6203.92;18611.8;13922.3
98;51.518000;0.91000000;6197.36;18592.1;14354.8
99;51.358000;1.5600000;6179.43;18538.3;13316.7
100;51.518000;1.0900000;6174.45;18523.4;8661.33
101;51.518000;0.85000000;6167.31;18501.9;14461.1
102;50.238000;1.4300000;6160.54;18481.6;14489.6
103;47.548000;-3.1000000;6159.69;18479.1;14643.0
104;51.518000;0.79000000;6150.81;18452.4;14499.0
105;50.798000;-0.50000000;6146.25;18438.8;10673.8
106;51.288000;1.3900000;6145.56;18436.7;12034.1
107;51.458000;1.3700000;6134.15;18402.4;11525.1
108;49.898000;0.69000000;6128.22;18384.7;14412.1
109;47.498000;-2.8300000;6104.33;18313.0;14495.1
110;50.008000;1.2300000;6091.33;18274.0;14171.1
111;51.008000;1.9800000;6089.12;18267.4;13947.2
112;47.318000;-2.6000000;6088.20;18264.6;14443.8
113;50.678000;1.5000000;6064.49;18193.5;13891.8
114;51.338000;1.4700000;6061.07;18183.2;14057.5
115;51.558000;0.97000000;6057.59;18172.8;10394.7
116;51.348000;1.6200000;6052.31;18156.9;10633.0
117;49.958000;1.1400000;6052.05;18156.1;13978.6
118;50.798000;-0.57000000;6041.04;18123.1;11775.8
119;50.018000;1.1000000;6034.17;18102.5;13899.7
120;46.968000;-2.2200000;6019.38;18058.1;14104.9
121;50.708000;-1.6200000;6012.72;18038.2;11329.5
122;50.018000;1.1600000;6004.83;18014.5;13830.9
123;50.298000;1.4800000;6004.11;18012.3;14138.8
124;49.478000;-0.020000000;6003.51;18010.5;14169.1
125;51.648000;3.5600000;6003.19;18009.6;14134.4
126;51.228000;2.8700000;5999.86;17999.6;14152.4
127;47.438000;-2.5900000;5998.81;17996.4;14248.1
128;47.148000;-2.3700000;5994.98;17985.0;14207.0
129;45.668000;-1.2200000;5994.08;17982.2;14274.4
130;47.198000;-2.5200000;5981.15;17943.5;14180.0
131;49.898000;0.75000000;5977.01;17931.0;14081.1
132;46.988000;-2.3400000;5975.82;17927.4;14178.1
133;51.218000;2.7900000;5974.38;17923.1;14093.4
134;50.238000;1.3700000;5974.17;17922.5;13498.9
135;50.068000;1.2300000;5972.70;17918.1;13933.9
136;47.258000;-2.5800000;5969.70;17909.1;14155.7
137;51.578000;1.0500000;5966.61;17899.8;5704.04
138;51.008000;1.9200000;5965.60;17896.8;13664.1
139;50.358000;1.4000000;5964.86;17894.6;10576.3
140;51.288000;1.5900000;5953.47;17860.4;13476.4
141;49.908000;0.63000000;5953.43;17860.3;13975.2
142;50.178000;1.4100000;5951.21;17853.6;13992.4
143;50.898000;1.6200000;5949.47;17848.4;12829.2
